,,,,,,,,,,,,,,,,,,,,,,269,# PILIHAN 1,Pilihan 1,,# PILIHAN 2,Pilihan 2,
PROVINSI,KOTA/KABUPATEN,PROVINSI GABUNG,UNIVERSITAS,PROGRAM STUDI,JENJANG,[hidden] concat,"PEMINAT 2024
Jawa Timur,Kota Surabaya,Sulawesi,UIN ALAUDDIN,PENDIDIKAN DOKTER,S1,S1 - PENDIDIKAN DOKTER UIN ALAUDDIN,734,26,3.54%,896,34,3.79%,598,13,-,412,955,322,tidak valid,563,407,NO,,,,,,
Jawa Timur,Kota Malang,"Banten, DKI Jakarta & Jawa Barat","UPN ""VETERAN"" JAKARTA",KEPERAWATAN,S1,"S1 - KEPERAWATAN UPN ""VETERAN"" JAKARTA",1026,28,2.73%,1499,70,4.67%,598,10,1301,588,955,390,1128,765,643,NO,,,,,,
Sulawesi Selatan,Kota Makassar,Sumatera Barat,UNIVERSITAS ANDALAS,TEKNIK INDUSTRI,S1,S1 - TEKNIK INDUSTRI UNIVERSITAS ANDALAS,586,38,6.48%,1113,50,4.49%,598,11,1401,552,955,362,1280,787,664,NO,,,,,,
Kalimantan Timur,Kota Balikpapan,Sumatera Barat,UNIVERSITAS ANDALAS,GIZI,S1,S1 - GIZI UNIVERSITAS ANDALAS,580,30,5.17%,861,52,6.04%,598,15,1401,806,955,294,1280,834,716,NO,,,,,,
Jawa Timur,Kota Malang,Jawa Tengah & DIY,UNIVERSITAS NEGERI SEMARANG,PENDIDIKAN BAHASA DAN SASTRA INDONESIA,S1,S1 - PENDIDIKAN BAHASA DAN SASTRA INDONESIA UNIVERSITAS NEGERI SEMARANG,846,40,4.73%,779,60,7.70%,598,5,1401,"1,076",955,647,1280,990,911,NO,,,,,,
Kalimantan Timur,Kota Samarinda,"Banten, DKI Jakarta & Jawa Barat",UNIVERSITAS PENDIDIKAN INDONESIA,PENDIDIKAN TATA BUSANA,S1,S1 - PENDIDIKAN TATA BUSANA UNIVERSITAS PENDIDIKAN INDONESIA,544,27,4.96%,548,45,8.21%,598,3,1401,"1,163",955,868,1280,"1,067",1011,NO,,,,,,
Kalimantan Utara,Kota Tarakan,Jawa Timur,POLITEKNIK ELEKTRONIKA NEGERI SURABAYA,TEKNIK ELEKTRONIKA,D3,D3 - TEKNIK ELEKTRONIKA POLITEKNIK ELEKTRONIKA NEGERI SURABAYA,34,18,52.94%,585,24,4.10%,598,0,-,482,955,2004,tidak valid,"1,147",1147,NO,,,,,,
Jawa Timur,Kota Surabaya,Jawa Timur,UNIVERSITAS NEGERI SURABAYA,SASTRA INGGRIS,S1,S1 - SASTRA INGGRIS UNIVERSITAS NEGERI SURABAYA,534,75,14.04%,632,90,14.24%,598,5,1401,"1,828",955,647,1280,"1,178",1195,NO,,,,,,
Kalimantan Utara,Kota Tarakan,"Banten, DKI Jakarta & Jawa Barat",POLITEKNIK NEGERI BANDUNG,TEKNIK PERANCANGAN DAN KONSTRUKSI MESIN,D4,D4 - TEKNIK PERANCANGAN DAN KONSTRUKSI MESIN POLITEKNIK NEGERI BANDUNG,234,13,5.56%,529,32,6.05%,598,0,-,809,955,2004,tidak valid,"1,256",1339,NO,,,,,,
Kalimantan Selatan,Kota Banjarmasin,Jawa Tengah & DIY,UNIVERSITAS NEGERI YOGYAKARTA,PENDIDIKAN LUAR SEKOLAH,S1,S1 - PENDIDIKAN LUAR SEKOLAH UNIVERSITAS NEGERI YOGYAKARTA,95,16,16.84%,158,24,15.19%,598,1,1201,"1,903",955,1329,843,"1,258",1343,NO,,,,,,
Kalimantan Barat,Kota Pontianak,Jawa Timur,"UPN ""VETERAN"" JAWA TIMUR",AKUNTANSI,S1,"S1 - AKUNTANSI UPN ""VETERAN"" JAWA TIMUR",998,129,12.93%,1082,172,15.90%,598,2,1401,"1,965",955,1037,1280,"1,309",1420,NO,,,,,,
Jawa Timur,Kota Surabaya,"Banten, DKI Jakarta & Jawa Barat",POLITEKNIK NEGERI BANDUNG,TEKNIK AERONAUTIKA,D3,D3 - TEKNIK AERONAUTIKA POLITEKNIK NEGERI BANDUNG,136,15,11.03%,517,38,7.35%,598,0,-,"1,009",955,2004,tidak valid,"1,323",1446,NO,,,,,,
Kalimantan Tengah,Kota Palangka Raya,Jawa Tengah & DIY,UNIVERSITAS NEGERI SEMARANG,PENDIDIKAN BAHASA ARAB,S1,S1 - PENDIDIKAN BAHASA ARAB UNIVERSITAS NEGERI SEMARANG,272,30,11.03%,222,38,17.12%,598,1,1401,"2,041",955,1329,1280,"1,401",1587,NO,,,,,,
Jawa Timur,Kota Malang,Jawa Timur,UNIVERSITAS NEGERI MALANG,PENDIDIKAN ILMU PENGETAHUAN ALAM,S1,S1 - PENDIDIKAN ILMU PENGETAHUAN ALAM UNIVERSITAS NEGERI MALANG,320,80,25.00%,383,80,20.89%,598,1,1401,"2,278",955,1329,1280,"1,461",1677,NO,,,,,,
Jawa Timur,Kota Surabaya,"Sumsel, Babel, Lampung",POLITEKNIK NEGERI SRIWIJAYA,TEKNIK KIMIA,D3,D3 - TEKNIK KIMIA POLITEKNIK NEGERI SRIWIJAYA,119,58,48.74%,503,58,11.53%,598,0,-,"1,567",955,2004,tidak valid,"1,509",1747,NO,,,,,,
Jawa Timur,Kota Surabaya,Jawa Tengah & DIY,UNIVERSITAS JENDERAL SOEDIRMAN,PENDIDIKAN BAHASA JEPANG,S1,S1 - PENDIDIKAN BAHASA JEPANG UNIVERSITAS JENDERAL SOEDIRMAN,92,36,39.13%,139,48,34.53%,598,0,801,"2,891",955,2004,521,"1,593",1909,NO,,,,,,
Jawa Timur,Kota Surabaya,Jawa Tengah & DIY,UNIVERSITAS NEGERI SEMARANG,KIMIA,S1,S1 - KIMIA UNIVERSITAS NEGERI SEMARANG,174,20,11.49%,115,30,26.09%,598,0,1401,"2,553",955,2004,1280,"1,698",2134,NO,,,,,,
Jawa Timur,Kota Malang,Jawa Timur,UNIVERSITAS AIRLANGGA,KEPERAWATAN,D3,D3 - KEPERAWATAN UNIVERSITAS AIRLANGGA,305,45,14.75%,4680,60,1.28%,597,4,308,45,974,748,197,491,332,NO,,,,,,
Jawa Timur,Kota Surabaya,"Banten, DKI Jakarta & Jawa Barat",UNIVERSITAS NEGERI JAKARTA,HUBUNGAN MASYARAKAT DAN KOMUNIKASI DIGITAL,D4,D4 - HUBUNGAN MASYARAKAT DAN KOMUNIKASI DIGITAL UNIVERSITAS NEGERI JAKARTA,704,30,4.26%,4082,45,1.10%,597,1,1401,31,974,1329,1280,904,802,NO,,,,,,
Kalimantan Timur,Kota Samarinda,Jawa Tengah & DIY,UNIVERSITAS NEGERI SEMARANG,PENDIDIKAN TATA KECANTIKAN,S1,S1 - PENDIDIKAN TATA KECANTIKAN UNIVERSITAS NEGERI SEMARANG,433,20,4.62%,431,30,6.96%,597,4,1401,949,974,748,1280,988,909,NO,,,,,,
Jawa Timur,Kota Malang,Jawa Timur,UNIVERSITAS JEMBER,TEKNIK PERTAMBANGAN,S1,S1 - TEKNIK PERTAMBANGAN UNIVERSITAS JEMBER,282,21,7.45%,517,28,5.42%,597,1,-,708,974,1329,tidak valid,"1,004",933,NO,,,,,,
Jawa Timur,Kota Malang,"Banten, DKI Jakarta & Jawa Barat","UPN ""VETERAN"" JAKARTA",TEKNIK PERKAPALAN,S1,"S1 - TEKNIK PERKAPALAN UPN ""VETERAN"" JAKARTA",192,14,7.29%,482,35,7.26%,597,2,1301,994,974,1037,1128,"1,033",972,NO,,,,,,
Jawa Timur,Kota Surabaya,Jawa Timur,UNIVERSITAS NEGERI MALANG,BIMBINGAN DAN KONSELING,S1,S1 - BIMBINGAN DAN KONSELING UNIVERSITAS NEGERI MALANG,633,54,8.53%,702,66,9.40%,597,6,1401,"1,332",974,582,1280,"1,042",984,NO,,,,,,
Jawa Timur,Kota Malang,"Banten, DKI Jakarta & Jawa Barat",UNIVERSITAS PADJADJARAN,SASTRA INDONESIA,S1,S1 - SASTRA INDONESIA UNIVERSITAS PADJADJARAN,377,24,6.37%,411,48,11.68%,597,1,596,"1,585",974,1329,381,"1,067",1013,NO,,,,,,
Jawa Timur,Kota Malang,Jawa Tengah & DIY,UNIVERSITAS SEBELAS MARET,ILMU SEJARAH,S1,S1 - ILMU SEJARAH UNIVERSITAS SEBELAS MARET,154,17,11.04%,242,26,10.74%,597,1,1001,"1,496",974,1329,662,"1,115",1090,NO,,,,,,
Jawa Timur,Kota Surabaya,Bali & Nusa Tenggara,UNIVERSITAS UDAYANA,AKUNTANSI,S1,S1 - AKUNTANSI UNIVERSITAS UDAYANA,1052,120,11.41%,965,160,16.58%,597,17,1401,"2,002",974,266,1280,"1,131",1119,NO,,,,,,
Kalimantan Barat,Kota Pontianak,Jawa Tengah & DIY,UNIVERSITAS NEGERI YOGYAKARTA,PENDIDIKAN SEJARAH,S1,S1 - PENDIDIKAN SEJARAH UNIVERSITAS NEGERI YOGYAKARTA,262,24,9.16%,306,36,11.76%,597,1,1201,"1,595",974,1329,843,"1,185",1208,NO,,,,,,
Jawa Timur,Kota Malang,Jawa Tengah & DIY,UNIVERSITAS NEGERI SEMARANG,PENDIDIKAN TATA BUSANA,S1,S1 - PENDIDIKAN TATA BUSANA UNIVERSITAS NEGERI SEMARANG,496,20,4.03%,417,30,7.19%,597,0,1401,980,974,2004,1280,"1,310",1421,NO,,,,,,
Sumatera Selatan,Kab. Ogan Ilir,Riau & Kepri,UNIVERSITAS RIAU,TEKNIK MESIN,S1,S1 - TEKNIK MESIN UNIVERSITAS RIAU,562,30,5.34%,539,40,7.42%,597,0,1401,"1,024",974,2004,1280,"1,321",1441,NO,,,,,,
Jawa Timur,Kota Malang,Sumatera Utara,UNIVERSITAS NEGERI MEDAN,ILMU KOMPUTER,S1,S1 - ILMU KOMPUTER UNIVERSITAS NEGERI MEDAN,1249,36,2.88%,1041,89,8.55%,597,0,1301,"1,220",974,2004,1128,"1,332",1475,NO,,,,,,
Jawa Timur,Kota Malang,"Banten, DKI Jakarta & Jawa Barat",UNIVERSITAS SULTAN AGENG TIRTAYASA,AKUNTANSI,S1,S1 - AKUNTANSI UNIVERSITAS SULTAN AGENG TIRTAYASA,1115,78,7.00%,755,174,23.05%,597,0,-,"2,386",974,2004,tidak valid,"1,788",2292,NO,,,,,,
Jawa Timur,Kota Surabaya,Sumatera Barat,UNIVERSITAS NEGERI PADANG,AGROTEKNOLOGI (KAMPUS KABUPATEN SIJUNJUNG),S1,S1 - AGROTEKNOLOGI (KAMPUS KABUPATEN SIJUNJUNG) UNIVERSITAS NEGERI PADANG,67,30,44.78%,68,40,58.82%,597,0,1401,"3,487",974,2004,1280,"1,936",2538,NO,,,,,,
Jawa Timur,Kota Malang,Sumatera Utara,UNIVERSITAS SUMATERA UTARA,AGRIBISNIS,S1,S1 - AGRIBISNIS UNIVERSITAS SUMATERA UTARA,1090,50,4.59%,970,64,6.60%,596,6,1201,884,989,582,843,825,701,NO,,,,,,
Jawa Timur,Kota Malang,Jawa Timur,UNIVERSITAS NEGERI SURABAYA,GIZI,S1,S1 - GIZI UNIVERSITAS NEGERI SURABAYA,1009,70,6.94%,1254,84,6.70%,596,7,1401,898,989,517,1280,921,823,NO,,,,,,
Jawa Timur,Kota Surabaya,Jawa Tengah & DIY,UNIVERSITAS NEGERI YOGYAKARTA,PENDIDIKAN BAHASA DAN SASTRA INDONESIA,S1,S1 - PENDIDIKAN BAHASA DAN SASTRA INDONESIA UNIVERSITAS NEGERI YOGYAKARTA,562,44,7.83%,819,66,8.06%,596,4,1201,"1,139",989,748,843,930,834,NO,,,,,,
Jawa Timur,Kota Surabaya,"Banten, DKI Jakarta & Jawa Barat",UIN JAKARTA,FARMASI,S1,S1 - FARMASI UIN JAKARTA,1016,31,3.05%,788,77,9.77%,596,5,-,"1,376",989,647,tidak valid,"1,004",934,NO,,,,,,
Jawa Timur,Kota Surabaya,Jawa Tengah & DIY,UNIVERSITAS SEBELAS MARET,PENYULUHAN DAN KOMUNIKASI PERTANIAN,S1,S1 - PENYULUHAN DAN KOMUNIKASI PERTANIAN UNIVERSITAS SEBELAS MARET,206,24,11.65%,460,36,7.83%,596,1,1001,"1,103",989,1329,662,"1,021",952,NO,,,,,,
Jawa Timur,Kota Surabaya,Jawa Tengah & DIY,UNIVERSITAS NEGERI YOGYAKARTA,PENDIDIKAN JASMANI KESEHATAN DAN REKREASI,S1,S1 - PENDIDIKAN JASMANI KESEHATAN DAN REKREASI UNIVERSITAS NEGERI YOGYAKARTA,448,40,8.93%,870,60,6.90%,596,1,1201,935,989,1329,843,"1,024",959,NO,,,,,,
Jawa Timur,Kota Malang,Jawa Timur,UNIVERSITAS AIRLANGGA,ANTROPOLOGI,S1,S1 - ANTROPOLOGI UNIVERSITAS AIRLANGGA,144,30,20.83%,321,40,12.46%,596,1,308,"1,674",989,1329,197,"1,047",990,NO,,,,,,
Jawa Timur,Kota Surabaya,Jawa Tengah & DIY,UNIVERSITAS NEGERI YOGYAKARTA,PENDIDIKAN KEWARGANEGARAAN,S1,S1 - PENDIDIKAN KEWARGANEGARAAN UNIVERSITAS NEGERI YOGYAKARTA,218,16,7.34%,293,24,8.19%,596,1,1201,"1,158",989,1329,843,"1,080",1029,NO,,,,,,
Jawa Timur,Kota Malang,Jawa Timur,POLITEKNIK ELEKTRONIKA NEGERI SURABAYA,TEKNIK ELEKTRO INDUSTRI,D4,D4 - TEKNIK ELEKTRO INDUSTRI POLITEKNIK ELEKTRONIKA NEGERI SURABAYA,330,36,10.91%,546,48,8.79%,596,2,-,"1,253",989,1037,tidak valid,"1,093",1046,NO,,,,,,
Jawa Timur,Kota Malang,Jawa Timur,UNIVERSITAS NEGERI MALANG,PENDIDIKAN TATA BUSANA,S1,S1 - PENDIDIKAN TATA BUSANA UNIVERSITAS NEGERI MALANG,386,30,7.77%,415,36,8.67%,596,2,1401,"1,238",989,1037,1280,"1,136",1130,NO,,,,,,
Jawa Timur,Kota Surabaya,Jawa Timur,"UPN ""VETERAN"" JAWA TIMUR",TEKNIK INDUSTRI,S1,"S1 - TEKNIK INDUSTRI UPN ""VETERAN"" JAWA TIMUR",762,86,11.29%,1121,114,10.17%,596,2,1401,"1,424",989,1037,1280,"1,183",1203,NO,,,,,,
Jawa Timur,Kota Malang,"Sumsel, Babel, Lampung",UNIVERSITAS SRIWIJAYA,PEND. MATEMATIKA,S1,S1 - PEND. MATEMATIKA UNIVERSITAS SRIWIJAYA,302,22,7.28%,268,44,16.42%,596,2,1401,"1,991",989,1037,1280,"1,324",1449,NO,,,,,,
Jawa Timur,Kota Malang,"Banten, DKI Jakarta & Jawa Barat",UNIVERSITAS PENDIDIKAN INDONESIA,KEWIRAUSAHAAN KAMPUS TASIKMALAYA,S1,S1 - KEWIRAUSAHAAN KAMPUS TASIKMALAYA UNIVERSITAS PENDIDIKAN INDONESIA,326,35,10.74%,301,55,18.27%,596,1,1401,"2,113",989,1329,1280,"1,428",1632,NO,,,,,,
Jawa Timur,Kota Surabaya,"Banten, DKI Jakarta & Jawa Barat",UNIVERSITAS SINGAPERBANGSA KARAWANG,HUBUNGAN INTERNASIONAL,S1,S1 - HUBUNGAN INTERNASIONAL UNIVERSITAS SINGAPERBANGSA KARAWANG,385,27,7.01%,347,36,10.37%,596,0,-,"1,446",989,2004,tidak valid,"1,480",1699,NO,,,,,,
Jawa Timur,Kota Surabaya,Jawa Timur,UNIVERSITAS JEMBER,TEKNOLOGI INFORMASI,S1,S1 - TEKNOLOGI INFORMASI UNIVERSITAS JEMBER,257,36,14.01%,390,48,12.31%,596,0,-,"1,654",989,2004,tidak valid,"1,549",1826,NO,,,,,,
Jawa Timur,Kota Malang,Riau & Kepri,POLITEKNIK NEGERI BATAM,TEKNOLOGI REKAYASA PERANGKAT LUNAK,D4,D4 - TEKNOLOGI REKAYASA PERANGKAT LUNAK POLITEKNIK NEGERI BATAM,180,23,12.78%,196,41,20.92%,596,0,-,"2,280",989,2004,tidak valid,"1,758",2241,NO,,,,,,
Jawa Timur,Kota Surabaya,Jawa Timur,"UPN ""VETERAN"" JAWA TIMUR",FISIKA,S1,"S1 - FISIKA UPN ""VETERAN"" JAWA TIMUR",41,24,58.54%,96,32,33.33%,596,0,1401,"2,846",989,2004,1280,"1,780",2279,NO,,,,,,
Nusa Tenggara Barat,Kota Mataram,Jawa Timur,UNIVERSITAS JEMBER,TEKNOLOGI INDUSTRI PERTANIAN,S1,S1 - TEKNOLOGI INDUSTRI PERTANIAN UNIVERSITAS JEMBER,135,44,32.59%,195,58,29.74%,596,0,-,"2,702",989,2004,tidak valid,"1,898",2470,NO,,,,,,
Kalimantan Selatan,Kota Banjarmasin,Bali & Nusa Tenggara,UNIVERSITAS NUSA CENDANA,EKONOMI PEMBANGUNAN,S1,S1 - EKONOMI PEMBANGUNAN UNIVERSITAS NUSA CENDANA,104,30,28.85%,101,54,53.47%,596,0,-,"3,395",989,2004,tidak valid,"2,129",2946,NO,,,,,,
Sulawesi Selatan,Kota Makassar,Jawa Timur,UNIVERSITAS AIRLANGGA,KESELAMATAN DAN KESEHATAN KERJA,D4,D4 - KESELAMATAN DAN KESEHATAN KERJA UNIVERSITAS AIRLANGGA,588,40,6.80%,4658,60,1.29%,595,17,308,47,1008,266,197,380,208,NO,,,,,,
Jawa Timur,Kota Surabaya,"Banten, DKI Jakarta & Jawa Barat",UNIVERSITAS PADJADJARAN,ANTROPOLOGI,S1,S1 - ANTROPOLOGI UNIVERSITAS PADJADJARAN,379,10,2.64%,515,20,3.88%,595,9,596,426,1008,419,381,559,400,NO,,,,,,
Sulawesi Utara,Kota Manado,Jawa Timur,UNIVERSITAS BRAWIJAYA,PARIWISATA,S1,S1 - PARIWISATA UNIVERSITAS BRAWIJAYA,645,33,5.12%,973,50,5.14%,595,16,801,667,1008,279,521,619,471,NO,,,,,,
Jawa Timur,Kota Malang,"Banten, DKI Jakarta & Jawa Barat",INSTITUT PERTANIAN BOGOR,EKOWISATA,D4,D4 - EKOWISATA INSTITUT PERTANIAN BOGOR,305,40,13.11%,1025,30,2.93%,595,1,426,276,1008,1329,260,718,584,NO,,,,,,
Jawa Timur,Kota Malang,"Banten, DKI Jakarta & Jawa Barat","UPN ""VETERAN"" JAKARTA",FISIOTERAPI,D3,"D3 - FISIOTERAPI UPN ""VETERAN"" JAKARTA",132,14,10.61%,2031,35,1.72%,595,1,1301,95,1008,1329,1128,890,786,NO,,,,,,
Sulawesi Selatan,Kota Makassar,"Banten, DKI Jakarta & Jawa Barat",UNIVERSITAS NEGERI JAKARTA,PEMASARAN DIGITAL,D4,D4 - PEMASARAN DIGITAL UNIVERSITAS NEGERI JAKARTA,520,26,5.00%,1976,39,1.97%,595,1,1401,125,1008,1329,1280,936,844,NO,,,,,,
Sulawesi Selatan,Kota Makassar,Sumatera Barat,UNIVERSITAS NEGERI PADANG,TEKNIK SIPIL,S1,S1 - TEKNIK SIPIL UNIVERSITAS NEGERI PADANG,520,42,8.08%,1008,56,5.56%,595,4,1401,729,1008,748,1280,941,851,NO,,,,,,
Bali,Kab. Badung,Sumatera Barat,UNIVERSITAS NEGERI PADANG,AKUNTANSI (NK),S1,S1 - AKUNTANSI (NK) UNIVERSITAS NEGERI PADANG,822,30,3.65%,1079,45,4.17%,595,2,1401,497,1008,1037,1280,956,870,NO,,,,,,
Sulawesi Tengah,Kota Palu,"Banten, DKI Jakarta & Jawa Barat",POLITEKNIK NEGERI BANDUNG,TEKNIK ELEKTRONIKA,D3,D3 - TEKNIK ELEKTRONIKA POLITEKNIK NEGERI BANDUNG,149,13,8.72%,675,32,4.74%,595,1,-,607,1008,1329,tidak valid,981,905,NO,,,,,,
Jawa Timur,Kota Surabaya,Jawa Tengah & DIY,UNIVERSITAS DIPONEGORO,AGROEKOTEKNOLOGI,S1,S1 - AGROEKOTEKNOLOGI UNIVERSITAS DIPONEGORO,437,44,10.07%,495,66,13.33%,595,4,721,"1,760",1008,748,453,992,915,NO,,,,,,
Jawa Timur,Kota Malang,"Banten, DKI Jakarta & Jawa Barat",UNIVERSITAS PENDIDIKAN INDONESIA,PENDIDIKAN BAHASA KOREA,S1,S1 - PENDIDIKAN BAHASA KOREA UNIVERSITAS PENDIDIKAN INDONESIA,369,28,7.59%,522,36,6.90%,595,2,1401,935,1008,1037,1280,"1,065",1010,NO,,,,,,
Sumatera Selatan,Kab. Ogan Ilir,Jawa Timur,UNIVERSITAS NEGERI SURABAYA,ADMINISTRASI NEGARA,D4,D4 - ADMINISTRASI NEGARA UNIVERSITAS NEGERI SURABAYA,418,75,17.94%,4968,99,1.99%,595,0,1401,127,1008,2004,1280,"1,105",1067,NO,,,,,,
Sulawesi Selatan,Kota Makassar,Jawa Tengah & DIY,UNIVERSITAS NEGERI YOGYAKARTA,ILMU KEOLAHRAGAAN,S1,S1 - ILMU KEOLAHRAGAAN UNIVERSITAS NEGERI YOGYAKARTA,125,24,19.20%,301,36,11.96%,595,2,1201,"1,618",1008,1037,843,"1,127",1112,NO,,,,,,
Sumatera Selatan,Kab. Ogan Ilir,Riau & Kepri,UNIVERSITAS RIAU,PENDIDIKAN BIOLOGI,S1,S1 - PENDIDIKAN BIOLOGI UNIVERSITAS RIAU,378,24,6.35%,335,32,9.55%,595,1,1401,"1,354",1008,1329,1280,"1,243",1314,NO,,,,,,
Jawa Timur,Kota Surabaya,"Sumsel, Babel, Lampung",UNIVERSITAS LAMPUNG,BIMB. KONSELING,S1,S1 - BIMB. KONSELING UNIVERSITAS LAMPUNG,735,35,4.76%,675,65,9.63%,595,1,1401,"1,364",1008,1329,1280,"1,245",1318,NO,,,,,,
Jawa Timur,Kota Malang,Jawa Timur,POLITEKNIK ELEKTRONIKA NEGERI SURABAYA,TEKNIK TELEKOMUNIKASI,D4,D4 - TEKNIK TELEKOMUNIKASI POLITEKNIK ELEKTRONIKA NEGERI SURABAYA,141,36,25.53%,320,48,15.00%,595,2,-,"1,885",1008,1037,tidak valid,"1,310",1422,NO,,,,,,
Jawa Timur,Kota Surabaya,"Banten, DKI Jakarta & Jawa Barat",UNIVERSITAS PENDIDIKAN INDONESIA,PENDIDIKAN TEKNIK BANGUNAN,S1,S1 - PENDIDIKAN TEKNIK BANGUNAN UNIVERSITAS PENDIDIKAN INDONESIA,120,24,20.00%,128,32,25.00%,595,2,1401,"2,494",1008,1037,1280,"1,455",1667,NO,,,,,,
Jawa Timur,Kota Surabaya,Jawa Timur,UNIVERSITAS NEGERI MALANG,ADMINISTRASI PENDIDIKAN,S1,S1 - ADMINISTRASI PENDIDIKAN UNIVERSITAS NEGERI MALANG,363,73,20.11%,543,73,13.44%,595,0,1401,"1,767",1008,2004,1280,"1,515",1755,NO,,,,,,
Jawa Timur,Kota Surabaya,Kalimantan,UNIVERSITAS TANJUNGPURA,TEKNIK PERTAMBANGAN,S1,S1 - TEKNIK PERTAMBANGAN UNIVERSITAS TANJUNGPURA,273,16,5.86%,330,40,12.12%,595,0,-,"1,634",1008,2004,tidak valid,"1,549",1825,NO,,,,,,
Nusa Tenggara Barat,Kota Mataram,"Banten, DKI Jakarta & Jawa Barat",UIN JAKARTA,SISTEM INFORMASI,S1,S1 - SISTEM INFORMASI UIN JAKARTA,571,37,6.48%,749,92,12.28%,595,0,-,"1,650",1008,2004,tidak valid,"1,554",1829,NO,,,,,,
Jawa Timur,Kota Surabaya,Jawa Timur,UNIVERSITAS NEGERI MALANG,PENDIDIKAN KIMIA,S1,S1 - PENDIDIKAN KIMIA UNIVERSITAS NEGERI MALANG,169,63,37.28%,160,62,38.75%,595,1,1401,"3,025",1008,1329,1280,"1,661",2071,NO,,,,,,
Jawa Timur,Kota Malang,"Banten, DKI Jakarta & Jawa Barat",UNIVERSITAS INDONESIA,ARKEOLOGI INDONESIA,S1,S1 - ARKEOLOGI INDONESIA UNIVERSITAS INDONESIA,148,16,10.81%,371,24,6.47%,594,6,206,862,1029,582,1,619,470,NO,,,,,,
Jawa Timur,Kota Surabaya,Jawa Tengah & DIY,UNIVERSITAS NEGERI YOGYAKARTA,TATA BOGA,D4,D4 - TATA BOGA UNIVERSITAS NEGERI YOGYAKARTA,675,22,3.26%,2466,33,1.34%,594,5,1201,50,1029,647,843,642,496,NO,,,,,,
Jawa Timur,Kota Surabaya,Jawa Timur,UNIVERSITAS BRAWIJAYA,KEUANGAN DAN PERBANKAN,D3,D3 - KEUANGAN DAN PERBANKAN UNIVERSITAS BRAWIJAYA,178,60,33.71%,3876,90,2.32%,594,2,801,183,1029,1037,521,693,551,NO,,,,,,
Jawa Timur,Kab. Jember,Sulawesi,UNIVERSITAS SAM RATULANGI,PENDIDIKAN DOKTER GIGI,S1,S1 - PENDIDIKAN DOKTER GIGI UNIVERSITAS SAM RATULANGI,197,10,5.08%,380,25,6.58%,594,10,1201,879,1029,390,843,785,659,NO,,,,,,
Jawa Timur,Kota Surabaya,Sumatera Barat,UNIVERSITAS ANDALAS,KESEHATAN MASYARAKAT,S1,S1 - KESEHATAN MASYARAKAT UNIVERSITAS ANDALAS,748,40,5.35%,1493,70,4.69%,594,7,1401,595,1029,517,1280,855,741,NO,,,,,,
Jawa Timur,Kota Surabaya,"Banten, DKI Jakarta & Jawa Barat",UNIVERSITAS PENDIDIKAN INDONESIA,PGSD KAMPUS BUMI SILIWANGI,S1,S1 - PGSD KAMPUS BUMI SILIWANGI UNIVERSITAS PENDIDIKAN INDONESIA,1127,64,5.68%,1199,86,7.17%,594,8,1401,976,1029,463,1280,937,847,NO,,,,,,
Jawa Timur,Kota Malang,Jawa Tengah & DIY,UNIVERSITAS SEBELAS MARET,TEKNOLOGI HASIL PERTANIAN,D3,D3 - TEKNOLOGI HASIL PERTANIAN UNIVERSITAS SEBELAS MARET,114,16,14.04%,1471,24,1.63%,594,0,1001,87,1029,2004,662,946,855,NO,,,,,,
Nusa Tenggara Timur,Kota Kupang,Jawa Tengah & DIY,UNIVERSITAS SEBELAS MARET,AGRIBISNIS,D3,D3 - AGRIBISNIS UNIVERSITAS SEBELAS MARET,122,26,21.31%,2157,39,1.81%,594,0,1001,102,1029,2004,662,949,858,NO,,,,,,
Jawa Timur,Kota Surabaya,Sulawesi,UNIVERSITAS HASANUDDIN,STATISTIKA,S1,S1 - STATISTIKA UNIVERSITAS HASANUDDIN,302,20,6.62%,348,50,14.37%,594,6,1001,"1,838",1029,582,662,"1,028",966,NO,,,,,,
Jawa Timur,Kota Surabaya,"Banten, DKI Jakarta & Jawa Barat",UNIVERSITAS SULTAN AGENG TIRTAYASA,GIZI,S1,S1 - GIZI UNIVERSITAS SULTAN AGENG TIRTAYASA,589,17,2.89%,459,39,8.50%,594,3,-,"1,211",1029,868,tidak valid,"1,036",975,NO,,,,,,
Kalimantan Timur,Kota Samarinda,"Banten, DKI Jakarta & Jawa Barat","UPN ""VETERAN"" JAKARTA",SISTEM INFORMASI,D3,"D3 - SISTEM INFORMASI UPN ""VETERAN"" JAKARTA",175,28,16.00%,4143,70,1.69%,594,0,1301,91,1029,2004,1128,"1,063",1008,NO,,,,,,
Jawa Timur,Kota Malang,Jawa Timur,UNIVERSITAS BRAWIJAYA,TEKNIK PENGAIRAN,S1,S1 - TEKNIK PENGAIRAN UNIVERSITAS BRAWIJAYA,169,37,21.89%,322,56,17.39%,594,4,801,"2,058",1029,748,521,"1,089",1041,NO,,,,,,
Jawa Timur,Kota Surabaya,Sumatera Utara,UNIVERSITAS SUMATERA UTARA,SOSIOLOGI,S1,S1 - SOSIOLOGI UNIVERSITAS SUMATERA UTARA,360,42,11.67%,319,39,12.23%,594,3,1201,"1,640",1029,868,843,"1,095",1053,NO,,,,,,
